#{"t_start": 1734581809.8197176, "env_id": "LunarLanderTargetPos"}
r,l,t
-100.0,1,202.203848
-50.305634,163,202.321966
-100.0,1,202.3234
-100.0,1,202.324441
-100.0,1,202.325428
-100.0,1,202.326442
43.820554,167,202.446472
-100.0,1,202.447952
-100.0,1,202.449023
-105.626273,208,202.621585
-100.0,1,202.62288
2.864224,123,202.71127
-100.0,1,202.712491
-100.0,1,202.713566
-100.0,1,202.714602
-100.0,1,202.71565
-100.0,1,202.716647
-100.0,1,202.71761
-100.0,1,202.71858
-100.0,1,202.719616
-100.0,1,202.720588
-100.0,1,202.721545
-100.0,1,202.722505
-100.0,1,202.723542
12.513132,156,202.834539
-105.758186,175,202.97719
-118.129599,150,203.084242
-100.0,1,203.085549
-119.076149,150,203.192759
-100.0,1,203.193982
-100.0,1,203.195074
-100.0,1,203.196096
-100.0,1,203.197121
-100.0,1,203.198158
-23.095809,185,203.339611
-100.0,1,203.34099
-165.951649,248,204.405702
-100.0,1,204.407073
25.293623,149,204.517413
16.795306,137,204.627128
-100.0,1,204.628384
-100.0,1,204.629447
-101.06734,137,204.730628
-96.53161,217,204.894981
17.483606,164,205.016753
-87.200338,191,205.152283
-18.615562,158,205.262832
-221.789636,242,205.459452
-147.953251,236,205.658812
-19.627548,160,205.774867
-100.0,1,205.776258
-50.185216,139,205.874641
-50.141481,165,206.899591
-100.0,1,206.901018
-100.0,1,206.901982
-10.003569,165,207.027678
20.56969,144,207.128618
-100.0,1,207.129927
3.865763,171,207.266936
9.222904,164,207.384956
-100.0,1,207.386236
-100.0,1,207.387315
-44.16866,189,207.529096
-100.0,1,207.530442
-100.0,1,207.531467
-100.0,1,207.532443
-22.826476,264,207.745926
-40.736438,257,207.960274
-100.0,1,207.961629
-100.0,1,207.962686
-84.70686,245,208.148199
-100.0,1,208.149566
-100.0,1,208.150585
-100.0,1,208.151669
-100.0,1,208.152638
-100.0,1,208.153635
32.273485,128,208.244226
-100.0,1,208.245521
-52.982035,178,209.281403
-100.0,1,209.282755
2.390538,193,209.443681
-41.353995,267,209.642129
-100.0,1,209.643454
-100.0,1,209.644506
-80.494051,247,209.833852
36.576456,135,209.930074
-20.642648,208,210.085691
-100.0,1,210.087032
-137.213897,268,210.309278
-123.367099,239,210.487701
-42.841207,203,210.638352
-100.0,1,210.639696
-128.821309,255,210.841884
-20.033236,189,211.839469
-107.232168,9,211.845598
-100.0,1,211.846724
-100.0,1,211.84781
-100.0,1,211.848793
-100.0,1,211.849786
-100.0,1,211.85078
-100.0,1,211.851819
-100.0,1,211.852744
-100.0,1,211.85377
-98.455253,299,212.116396
-100.0,1,212.11782
-59.211738,234,212.29295
-100.0,1,212.294234
-100.738124,332,212.582151
-80.255156,193,212.736333
138.637123,3503,218.966767
-100.0,1,218.969759
-98.042937,248,219.193793
-100.0,1,219.195196
-100.0,1,219.196285
-61.277203,211,219.357274
-100.0,1,219.358647
-103.281797,241,219.557988
10.544057,146,219.660708
-100.0,1,219.661995
-100.0,1,219.662946
-100.0,1,219.663996
-100.0,1,219.66502
-99.305244,170,219.791551
-183.374739,299,220.052315
-100.0,1,220.053735
6.104562,179,221.06682
-134.751013,210,221.234198
-100.0,1,221.235498
-117.675861,299,221.505159
-100.0,1,221.506509
-334.315109,452,221.897284
-100.0,1,221.898688
-9.645566,173,222.022902
-100.0,1,222.024189
-100.0,1,222.025326
-9.994046,200,222.173015
-100.0,1,222.174356
-100.0,1,222.175409
-100.0,1,222.176385
14.464288,167,222.297408
-100.0,1,222.29869
186.248295,1025,224.069102
-100.0,1,224.070769
-100.0,1,224.071831
-24.114657,208,224.228079
-100.0,1,224.229347
-13.967215,183,224.370174
-100.0,1,224.371521
-100.0,1,224.372591
-38.111847,242,224.556491
-100.0,1,224.557864
-100.0,1,224.558944
-100.0,1,224.559998
-23.470289,171,224.697346
5.499474,214,224.855438
-21.588299,223,225.027958
-40.477689,190,225.185579
32.527974,155,226.140229
-100.0,1,226.141585
-79.615898,174,226.271646
-58.761406,237,226.454157
1.644021,125,226.54318
-116.930208,239,226.757981
15.010838,177,226.89172
-88.152512,248,227.08548
-100.0,1,227.086906
-28.587807,192,227.230698
-152.140029,238,227.435699
-100.0,1,227.436953
-183.418714,336,228.622726
-235.89555,301,228.872121
-54.36308,287,229.126303
-100.0,1,229.127779
-53.755379,263,229.338003
-100.0,1,229.339302
-169.142994,391,229.771439
5.051081,164,229.888059
-126.116774,302,230.141596
-100.0,1,230.143068
-240.703933,370,231.337019
222.014728,636,231.92674
-100.0,1,231.928377
-100.0,1,231.929381
-102.305862,291,232.197877
-15.731157,199,232.354733
-72.664172,271,232.580699
121.983687,713,234.343425
-100.0,1,234.345311
-100.0,1,234.34633
-64.413206,226,234.526921
-100.0,1,234.528507
-24.912716,204,234.685456
-100.0,1,234.686747
-26.7685,164,234.816194
-31.817243,239,234.996975
-100.0,1,234.998303
-100.0,1,234.999338
-126.247927,309,235.322765
-100.0,1,235.324129
-100.0,1,235.325197
-19.211225,169,235.4476
-63.619276,196,235.59175
-100.0,1,235.592978
20.016068,137,235.706048
-100.0,1,235.707326
-100.0,1,235.70838
-15.806525,212,235.879413
-100.0,1,235.880781
-100.0,1,235.88185
-100.0,1,235.882864
-6.938239,197,236.901443
-100.0,1,236.902965
-100.0,1,236.90404
-39.215514,169,237.023219
-91.809249,220,237.188695
-24.162684,163,237.330537
5.488322,159,237.44384
-10.984398,158,237.555822
-4.427623,132,237.651687
112.808429,631,238.275654
-135.405534,299,239.423533
-46.714708,200,239.568327
-100.0,1,239.569754
-100.0,1,239.570796
1.811042,150,239.673722
121.639404,374,240.065275
-11.453151,163,240.180014
-100.0,1,240.1813
-95.571643,201,240.326764
-86.929569,206,240.484191
252.190985,402,240.848454
-171.215869,385,242.128051
34.043122,147,242.235996
-100.0,1,242.237377
2.84267,183,242.371045
-98.855217,255,242.593751
254.6294,358,242.889006
-100.0,1,242.89036
-100.0,1,242.891474
-66.116365,203,243.048923
125.784402,419,243.47069
-28.490238,171,243.597548
-100.0,1,243.598871
11.903265,164,243.718743
-100.0,1,243.720162
-155.760199,255,244.861419
-100.0,1,244.862836
-135.188471,210,245.022274
-17.526973,163,245.15199
23.743,170,245.273967
-100.0,1,245.275306
-100.0,1,245.276353
-100.0,1,245.277343
-100.0,1,245.278348
-135.420004,421,245.673821
-100.0,1,245.67547
-100.0,1,245.676546
-100.0,1,245.677568
-100.0,1,245.678531
-100.0,1,245.679568
-11.468404,178,245.812205
-100.0,1,245.813602
-104.486809,200,245.982995
-100.0,1,245.984392
-100.0,1,245.985444
50.856844,690,247.568251
-115.508195,458,248.047594
