#{"t_start": 1734312558.9648366, "env_id": "LunarLander-v3"}
r,l,t
31.313892,245,464.434659
12.545963,133,464.527733
226.110862,277,464.757364
254.458204,272,464.981774
267.366041,243,465.191456
244.648543,284,465.414309
57.962185,210,465.588228
260.932745,296,465.838484
235.573806,316,466.905509
270.009872,282,467.146714
252.427434,268,467.381792
235.108757,265,467.606046
9.574608,225,467.777902
258.693639,268,467.989783
267.429028,287,468.231485
241.835118,280,469.240767
221.026962,363,469.576681
273.722034,270,469.821065
292.630294,386,470.149209
252.77846,363,470.445009
249.22781,277,470.694077
244.532208,374,471.840399
258.920915,289,472.105017
266.780486,251,472.308297
221.050442,289,472.55893
235.623741,272,472.794257
282.857513,279,473.013849
266.054497,253,473.227541
248.257767,291,473.468395
258.174627,274,474.49412
218.398625,271,474.734297
244.66859,277,474.954726
269.929999,265,475.1847
31.244527,202,475.333496
269.032103,268,475.580254
8.378565,152,475.692729
294.066101,270,475.911068
259.90505,265,476.946198
250.510289,270,477.184812
247.2724,278,477.416059
239.82871,262,477.626901
261.772849,301,477.874696
256.543886,287,478.145845
257.755877,318,478.417022
267.635203,336,479.489918
248.105619,278,479.737718
246.911125,293,479.994883
263.288889,619,480.53893
265.996774,296,480.785638
230.396363,285,481.028554
245.202569,291,482.082963
240.335975,279,482.338246
140.149634,1000,483.252582
264.353028,263,483.473505
289.424049,761,485.340135
239.101062,253,485.54221
263.83842,273,485.768674
276.835568,280,486.017612
257.46838,268,486.241259
110.428017,1000,488.128233
240.342959,304,488.386675
243.199385,297,488.66012
250.280513,274,488.897332
293.543587,486,489.416217
284.070322,291,490.461208
268.252228,295,490.742791
205.313142,474,491.153461
27.960725,190,491.301778
259.705748,318,491.584826
264.108048,261,491.797999
44.106104,261,492.00376
253.474975,294,493.046331
249.059481,268,493.282511
240.095835,282,493.530616
267.632416,263,493.751014
255.527703,276,493.973776
240.988532,271,494.205937
12.276842,187,494.345381
127.046898,1000,496.096719
277.915438,243,496.302836
227.824204,271,496.534007
227.406888,841,497.46964
258.703486,300,498.530784
3.956969,217,498.694578
49.771863,234,498.871886
232.799667,283,499.121678
237.754794,268,499.33928
254.609511,287,499.589433
-33.101737,175,499.719178
263.08185,257,499.92556
270.467649,325,501.02161
240.06924,260,501.231626
101.906616,1000,502.398076
257.864106,291,502.64103
273.705947,315,503.720089
273.106713,278,503.94977
50.410633,1000,505.094763
268.189914,346,505.4501
252.420751,265,505.672842
244.606433,272,506.690875
269.154704,297,506.948078
263.045282,294,507.184039
100.728628,1000,508.548115
263.675065,271,508.803447
252.861561,255,509.799557
265.999003,257,510.008568
262.358532,660,510.707399
239.223566,281,510.95471
259.912889,268,511.201166
252.683619,330,511.495677
277.225018,257,512.49826
231.487585,256,512.701693
280.367827,254,512.91715
255.260789,277,513.152769
23.098547,220,513.320244
254.41468,289,513.600637
268.683522,255,513.822028
-7.608333,231,514.011627
244.05219,273,515.054153
